date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2016-11-30,3,2011-11-30,2016-11-30,1259,-5895.6492633581065,True,2,risk_on,1.0,2,risk_on,0.9954652797141031,,2.5959424033108395e-22,1.586890455083511e-42,1.0,0.0045347202858968165,5.1260126882936e-24,0.9954652797141031
2016-12-30,3,2011-12-30,2016-12-30,1259,-5903.431832276463,True,2,risk_on,1.0,2,risk_on,0.9929982742572411,,3.345811528160927e-24,6.654476184153726e-17,1.0,0.0017503413893944612,0.005251384353364481,0.9929982742572411
2017-01-31,3,2012-01-31,2017-01-31,1259,-5822.557795963409,True,1,risk_on,0.9999999993724487,1,risk_on,0.995709834135017,,6.275867507203834e-10,0.9999999993724487,3.1250340825950557e-25,0.004290165853618381,0.995709834135017,1.1399969222353738e-11
2017-02-28,3,2012-02-28,2017-02-28,1259,-5670.329585523893,True,2,risk_on,0.9999999999527063,2,risk_on,0.9959058310469587,,3.2601816242166265e-39,4.752343322009974e-11,0.9999999999527063,8.623119148079251e-13,0.004094168952408666,0.9959058310469587
2017-03-31,3,2012-04-02,2017-03-31,1258,-5619.972190526758,True,2,risk_on,0.9999999996462066,2,risk_on,0.9961905204018583,,3.535425004633422e-10,7.713205546765247e-20,0.9999999996462066,0.0038094795919026403,5.9882149867764295e-12,0.9961905204018583
2017-04-28,3,2012-04-30,2017-04-28,1258,-6015.9215445521295,True,2,risk_on,0.9999999999899956,2,risk_on,0.9887204518692346,,1.0470363244776831e-22,9.559661733167155e-12,0.9999999999899956,0.0028198735089002124,0.00845967462142038,0.9887204518692346
2017-05-31,3,2012-05-31,2017-05-31,1258,-5784.875469997606,True,1,risk_on,1.0,1,risk_on,0.9893926137667378,,1.4560022087733694e-15,1.0,3.6337376940068367e-16,0.002651855122934979,0.9893926137667378,0.00795553111032912
2017-06-30,3,2012-07-02,2017-06-30,1258,-6230.265103250753,True,0,risk_on,1.0,0,risk_on,0.9906492266309638,,1.0,0.0,1.0442928093945326e-19,0.9906492266309638,0.0015513997982224213,0.0077993735708139465
2017-07-31,3,2012-07-31,2017-07-31,1258,-6075.279442056866,True,2,risk_on,1.0,2,risk_on,0.9976347037329961,,1.98675081987806e-229,2.226011350224471e-44,1.0,3.8276415544439586e-46,0.0023652962670039405,0.9976347037329961
2017-08-31,3,2012-08-31,2017-08-31,1258,-5866.780650167023,True,2,risk_on,1.0,2,risk_on,0.9871714215299451,,5.672671479161299e-14,5.474717704904604e-128,1.0,0.010695466486357828,0.0021331119837537716,0.9871714215299451
2017-09-29,3,2012-10-01,2017-09-29,1258,-5509.087232568434,True,0,risk_on,1.0,0,risk_on,0.9877274194370788,,1.0,4.398095532446349e-31,5.546329470236079e-30,0.9877274194370788,0.010227362415135043,0.002045218147786193
2017-10-31,3,2012-10-31,2017-10-31,1260,-5465.452680947961,True,0,risk_on,1.0,0,risk_on,0.9922952010545368,,1.0,0.0,1.0308188357120366e-54,0.9922952010545368,0.001540737309431663,0.006164061636031491
2017-11-30,3,2012-11-30,2017-11-30,1260,-5069.840930735356,True,1,risk_on,1.0,1,risk_on,0.9857730367894837,,2.9885568553425967e-24,1.0,6.926823540084441e-75,0.011856745987096053,0.9857730367894837,0.0023702172234203863
