date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,current_prob_regime_4,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3,next_prob_regime_4
2014-06-30,5,2009-06-30,2014-06-30,1259,-227.73513502305076,True,4,risk_on,1.0,4,risk_on,0.9921010979429651,,1.357333174281692e-89,2.3016500280033985e-52,3.516358513790836e-146,5.951854092870751e-118,1.0,0.0026354145073373752,0.0052634875496976015,2.4267250010903564e-54,6.333970372378351e-92,0.9921010979429651
2014-07-31,5,2009-07-31,2014-07-31,1259,-364.4649071980031,True,3,mixed_or_neutral_3,1.0,3,mixed_or_neutral_3,0.9872471126900287,,2.241835312269967e-257,1.1001305855082198e-282,3.047322084542728e-67,1.0,1.945042376731264e-21,7.908799944147501e-69,4.992931921888491e-259,0.009564555315173954,0.9872471126900287,0.003188331994797124
2014-08-29,5,2009-08-31,2014-08-29,1259,-591.8828823130207,True,1,risk_on,1.0,1,risk_on,0.9861406643904882,,3.7068684885425784e-85,1.0,8.32140642673931e-227,0.0,1.987340751905745e-29,5.738477785381198e-32,0.9861406643904882,0.005543540921942636,2.5209195408826827e-228,0.008315794687569055
2014-09-30,5,2009-09-30,2014-09-30,1259,-389.2258817592683,True,2,mixed_or_neutral_2,1.0,2,mixed_or_neutral_2,0.9921881411113264,,0.0,1.4578724546515218e-15,1.0,1.0119824665434962e-61,2.8740245236846325e-116,3.9281419641281124e-118,0.0039060376273207385,0.9921881411113264,3.60522860813274e-18,0.003905821261354356
2014-10-31,5,2009-11-02,2014-10-31,1259,-329.42673887111,True,1,defensive_risk_off,0.9999994590697028,1,defensive_risk_off,0.9486921856700298,,6.467832537691916e-22,0.9999994590697028,7.063790070788484e-57,5.409302690625506e-07,4.77801168871991e-103,4.2402930591328145e-09,0.9486921856700298,0.008548589665818097,0.02566206180047228,0.01709715862335875
2014-11-28,5,2009-11-30,2014-11-28,1259,-58.183013855547465,True,4,mixed_or_neutral_4,1.0,4,mixed_or_neutral_4,0.9859998067400064,,3.1244957528889984e-117,7.121297681438985e-82,2.4190849157843758e-178,2.3283095349353995e-23,1.0,7.056451716768429e-84,0.009332754483618732,2.116934412074249e-83,0.0046674387763748415,0.9859998067400064
2014-12-31,5,2009-12-31,2014-12-31,1259,-755.0569656191794,True,3,mixed_or_neutral_3,0.9999999984606802,3,mixed_or_neutral_3,0.9790283985916496,,2.3334821209464418e-271,1.539374746948996e-09,2.0492450886643528e-25,0.9999999984606802,2.395834442170791e-37,3.383133488355912e-27,0.016777371469992156,1.0355130132646659e-11,0.9790283985916496,0.004194229928058218
2015-01-30,5,2010-02-01,2015-01-30,1259,-527.4797772665231,True,2,mixed_or_neutral_2,1.0,2,mixed_or_neutral_2,0.9744744630706944,,7.78099019122674e-42,2.1835724662818555e-167,1.0,1.5772278640697975e-45,1.7104171430954098e-222,0.008500898032883814,0.012751157285718523,0.9744744630706944,0.004273481610703283,4.2760196100153994e-122
2015-02-27,5,2010-03-01,2015-02-27,1259,-669.1279712717617,True,1,mixed_or_neutral_1,0.9999999999918145,1,mixed_or_neutral_1,0.9762590034642723,,8.200298139215196e-12,0.9999999999918145,4.922473414560406e-268,0.0,1.889842484172143e-21,0.011872101264859861,0.9762590034642723,0.003956279576406658,1.3917314133971635e-218,0.007912615694475942
2015-03-31,5,2010-03-31,2015-03-31,1259,-454.6390210804537,True,2,mixed_or_neutral_2,0.9999999999990905,2,mixed_or_neutral_2,0.965471808550903,,4.7829988103002635e-284,7.191143309983074e-13,0.9999999999990905,2.1707776824612058e-13,1.1433458555073716e-104,0.005754180904263613,0.023018496969974604,0.965471808550903,0.005755513574882886,2.6254294755732075e-15
2015-04-30,5,2010-04-30,2015-04-30,1259,-741.1441766834454,True,1,inflation_rates_shock,0.9999999999453166,1,inflation_rates_shock,0.9683586296304301,,5.4738879030722615e-11,0.9999999999453166,1.484762869250453e-22,8.371931228851152e-108,1.2258456230354929e-160,0.009059227920246693,0.9683586296304301,0.02258214244883581,3.62014570712995e-13,1.8100723495860162e-13
