date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3
2016-12-30,4,2011-12-30,2016-12-30,1259,-4703.277727145181,True,1,inflation_rates_shock,0.9999999999863576,1,inflation_rates_shock,0.985369485807843,,1.910827396273804e-51,0.9999999999863576,1.3853530159866126e-11,8.796122523104206e-30,2.5054871446184914e-14,0.985369485807843,0.014630514192267796,7.515418279904865e-14
2017-01-31,4,2012-01-31,2017-01-31,1259,-4367.295232000586,True,1,risk_on,0.999981385499716,1,risk_on,0.9869888614217595,,1.8614500111562658e-05,0.999981385499716,6.630411518155594e-136,1.0297112844478782e-80,0.013011067592037245,0.9869888614217595,2.2550976794514946e-82,7.09860309395161e-08
2017-02-28,4,2012-02-28,2017-02-28,1259,-4357.40905285541,True,3,risk_on,1.0,3,risk_on,0.9838455646370262,,2.2368842077400863e-42,1.5086852342571784e-20,3.088081238336483e-19,1.0,5.567551896542923e-21,0.009692678764738822,0.006461756598234995,0.9838455646370262
2017-03-31,4,2012-04-02,2017-03-31,1258,-4333.084391970104,True,1,inflation_rates_shock,0.9999999999990905,1,inflation_rates_shock,0.9961250115036512,,6.20482547402789e-25,0.9999999999990905,4.911790517352147e-13,7.455954919831748e-26,8.794288884573742e-15,0.9961250115036512,0.0019374905891355238,0.0019374979067863364
2017-04-28,4,2012-04-30,2017-04-28,1258,-4043.2021580284104,True,1,risk_on,1.0,1,risk_on,0.9960997041375681,,4.524105440627553e-38,1.0,2.9731436444996246e-25,3.337971332961267e-67,8.040364557985001e-27,0.9960997041375681,0.0019501340379816333,0.0019501618244503072
2017-05-31,4,2012-05-31,2017-05-31,1258,-4325.112670821935,True,0,risk_on,1.0,0,risk_on,0.9954616999666556,,1.0,3.4491099368099287e-128,4.261267544175392e-229,3.132801153395878e-135,0.9954616999666556,0.0030255779510502422,0.0015127220822942857,4.227842105238786e-130
2017-06-30,4,2012-07-02,2017-06-30,1258,-3785.2861861368956,True,1,risk_on,1.0,1,risk_on,0.9925174530617987,,7.754830858828496e-35,1.0,4.777011463486434e-70,1.3684106825638574e-50,0.0024940480367033548,0.9925174530617987,1.3641090096620031e-36,0.0049884989014978495
2017-07-31,4,2012-07-31,2017-07-31,1258,-4321.918680242949,True,0,risk_on,1.0,0,risk_on,0.9919667303647876,,1.0,4.6534120254357926e-61,1.8581818132334252e-74,2.1017284595273338e-215,0.9919667303647876,0.00803326963521244,1.5031824699768043e-49,2.4149610600178065e-63
2017-08-31,4,2012-08-31,2017-08-31,1258,-4233.045931007728,True,1,risk_on,1.0,1,risk_on,0.9928341071456652,,1.0634050108397578e-15,1.0,3.5018503396631723e-153,1.0992419393864754e-24,0.0023886291722539977,0.9928341071456652,0.002388625549530845,0.002388638132551013
2017-09-29,4,2012-10-01,2017-09-29,1258,-3777.0371733493794,True,2,risk_on,1.0,2,risk_on,0.9915970340078462,,2.135720615978217e-78,1.1126960318421686e-48,1.0,1.5407097058415676e-107,0.0021006701336288075,0.006302295858525082,0.9915970340078462,3.418426578190101e-80
2017-10-31,4,2012-10-31,2017-10-31,1260,-3414.7928219977994,True,1,risk_on,1.0,1,risk_on,0.9936153281026354,,1.2976954875277742e-153,1.0,4.140388315090398e-184,2.9981169402269558e-52,4.4831404383158847e-54,0.9936153281026354,1.1206725279447679e-54,0.006384671897364576
2017-11-30,4,2012-11-30,2017-11-30,1260,-3521.799875928759,True,1,risk_on,1.0,1,risk_on,0.9942103288213032,,4.87553727792035e-76,1.0,1.587301526046279e-182,8.667412145332773e-90,0.001903823878157187,0.9942103288213032,0.001955900521009678,0.00192994677952984
2017-12-29,4,2012-12-31,2017-12-29,1260,-2794.3033253779736,True,1,risk_on,1.0,1,risk_on,0.9935049377039679,,7.812325514213438e-145,1.0,3.1661904311228253e-267,8.45653024685103e-58,7.870078222803703e-60,0.9935049377039679,2.622994108564879e-60,0.006495062296032127
2018-01-31,4,2013-01-31,2018-01-31,1260,-3000.4889298926328,True,0,risk_on,1.0,0,risk_on,0.9929351984944476,,1.0,1.2821854570944205e-69,0.0,2.513965373761059e-163,0.9929351984944476,0.007064801505552416,3.189106384890997e-72,1.2767572359187212e-71
2018-02-28,4,2013-02-28,2018-02-28,1260,-3607.9018317135815,True,3,defensive_risk_off,1.0,3,defensive_risk_off,0.9685596679771608,,1.3663098611892858e-170,7.827836535409241e-38,1.9929373838128966e-168,1.0,3.968182041400636e-40,0.018897817759274127,0.012542514263565162,0.9685596679771608
2018-03-29,4,2013-04-01,2018-03-29,1260,-3891.400838893816,True,3,defensive_risk_off,1.0,3,defensive_risk_off,0.9883032059637777,,2.0626363279065908e-102,0.0,2.3177368905819623e-143,1.0,0.005848397017941614,0.005848397018280671,2.164670127880079e-104,0.9883032059637777
2018-04-30,4,2013-04-30,2018-04-30,1260,-3276.374257044287,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9851864591585473,,2.4996653542043676e-149,1.0,2.2648963335920228e-213,4.164076272231411e-67,0.009884307837699226,0.9851864591585473,1.037779620804705e-68,0.004929233003753545
