date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3
2024-07-09,2,risk_on,1.541273856139175e-13,1.9725956553716684e-11,0.9999999999799911,9.959202907783183e-119
2024-07-10,2,risk_on,8.865377418787469e-13,7.016407755012752e-14,0.999999999998181,8.698321798890767e-118
2024-07-11,2,risk_on,1.433781738748757e-11,3.783784350405124e-14,0.9999999999854481,1.2639878840616412e-105
2024-07-12,2,risk_on,2.3765601232555962e-12,8.576454489964263e-14,0.999999999998181,1.5704624420190255e-108
2024-07-15,2,risk_on,1.796707440600959e-12,8.389231870094429e-13,0.999999999998181,4.076102629980299e-111
2024-07-16,2,risk_on,5.7950010615321935e-12,8.55530862810406e-13,0.999999999992724,2.873146929382157e-102
2024-07-17,2,risk_on,2.239860214506602e-11,7.847986203498693e-12,0.9999999999690772,2.694860331123122e-97
2024-07-18,2,risk_on,7.19831425348875e-12,2.6352421704238547e-12,0.999999999990905,8.100169087178052e-104
2024-07-19,2,risk_on,2.8669225830903618e-11,9.443733335594838e-11,0.9999999998763087,1.727068337565967e-103
2024-07-22,2,risk_on,7.229071435218785e-12,1.0704285690926483e-11,0.9999999999818101,4.170787255913326e-103
2024-07-23,2,risk_on,2.168418648016574e-12,8.227502896444102e-12,0.9999999999890861,3.891925541895836e-105
2024-07-24,2,risk_on,3.5974215586451244e-11,5.688279621140423e-09,0.9999999942756403,5.335171482540616e-107
2024-07-25,2,risk_on,6.932091338181171e-11,1.3826904520208364e-08,0.999999986102921,3.0711186324006596e-104
2024-07-26,2,risk_on,5.3718248869925655e-12,3.576101581058667e-11,0.9999999999581632,5.536658014863258e-107
2024-07-29,2,risk_on,9.63222693127928e-13,5.239390705649205e-11,0.9999999999472493,1.9781432490925767e-106
2024-07-30,2,risk_on,4.559903542047664e-12,2.5179740763140214e-11,0.9999999999708962,7.417813175587125e-106
2024-07-31,2,risk_on,5.872596460867599e-13,1.6238002655695702e-15,1.0,4.241138122949691e-105
2024-08-01,2,risk_on,5.6174345024593756e-12,8.264094252835315e-13,0.999999999992724,1.1051990536879026e-92
2024-08-02,2,risk_on,1.475973300249263e-06,0.0003962809741387489,0.99960224305347,1.5037854311825658e-72
2024-08-05,1,recovery_or_normalization,2.4651885092031197e-12,0.999999999998181,9.821307608000612e-14,1.862093124921783e-57
2024-08-06,1,recovery_or_normalization,9.085825742106704e-09,0.9999999860701791,4.843935194591985e-09,7.479258123031846e-57
2024-08-07,1,recovery_or_normalization,6.776966421963231e-09,0.9999999928295438,3.9291655622970726e-10,1.893798036168612e-57
2024-08-08,1,recovery_or_normalization,9.928965185003827e-09,0.9999937646583696,6.225411786706137e-06,1.1484283620872208e-53
2024-08-09,1,recovery_or_normalization,1.2385989699510266e-07,0.9991919639190329,0.0008079122204584217,4.212085607087758e-53
2024-08-12,1,recovery_or_normalization,1.0448642452929592e-06,0.9711571757965591,0.028841779339344797,2.9188393326611308e-53
2024-08-13,2,risk_on,7.936474812104247e-07,0.18633047674021314,0.8136687296118569,6.144558158622646e-56
2024-08-14,2,risk_on,9.413135531671069e-08,0.041123443165179664,0.9588764627029254,1.6980118777609654e-57
2024-08-15,2,risk_on,2.986798867069169e-08,0.006098459495668986,0.9939015106364653,1.0944346258176559e-53
2024-08-16,2,risk_on,1.1116200526788957e-08,0.00010530531848964789,0.9998946835658653,1.851765734500659e-54
2024-08-19,2,risk_on,1.845039092942869e-09,1.6934140836955857e-07,0.9999998288131029,8.61372384193812e-56
2024-08-20,2,risk_on,8.190319892674259e-10,1.79849581009185e-07,0.9999998193307128,1.3968449110061108e-56
2024-08-21,2,risk_on,8.824784044085012e-10,1.2213952503995876e-07,0.9999998769781162,1.4827161255782717e-56
2024-08-22,2,risk_on,1.1018616362766802e-09,4.081043116843244e-09,0.9999999948176992,2.8256252454660166e-58
2024-08-23,2,risk_on,2.0214199161053014e-09,2.0322020176196725e-10,0.999999997775376,5.580633985035921e-59
2024-08-26,2,risk_on,4.694020820218216e-10,8.9615166647704e-09,0.9999999905685399,3.132937820923483e-59
2024-08-27,2,risk_on,3.6690334140539877e-10,1.632498385352219e-08,0.9999999833089533,2.26896804560171e-59
2024-08-28,2,risk_on,5.922683525144467e-10,2.0020195440100905e-08,0.9999999793872123,4.569586265352866e-58
2024-08-29,2,risk_on,1.3857693631346952e-10,2.178823538973269e-07,0.9999997819795918,5.7554496790743914e-58
