date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2
2023-12-07,0,risk_on,0.9999999895571818,1.0442218694061919e-08,1.718369208710823e-95
2023-12-08,0,risk_on,0.9999999900810508,9.918211749630226e-09,2.9804968338455456e-97
2023-12-11,0,risk_on,0.9999999930187187,6.9819304147819e-09,5.542708392635742e-95
2023-12-12,0,risk_on,0.999999981328074,1.867171467334639e-08,5.301520426573805e-95
2023-12-13,0,risk_on,0.9999999546507762,4.534992440365542e-08,6.792535421204634e-94
2023-12-14,0,risk_on,0.9999999942574505,5.742105862745933e-09,1.2423804812300788e-96
2023-12-15,0,risk_on,0.9999999872870831,1.2712497931920473e-08,6.060998431564722e-96
2023-12-18,0,risk_on,0.9999999958472472,4.153290307211688e-09,6.871808929164312e-96
2023-12-19,0,risk_on,0.9999999917072273,8.29297191584996e-09,1.7234023510349567e-93
2023-12-20,0,risk_on,0.9999999699284676,3.0071341751577024e-08,6.108574416668958e-84
2023-12-21,0,risk_on,0.999999986952389,1.3048015978697575e-08,7.190275883125981e-84
2023-12-22,0,risk_on,0.9999999865394784,1.3460362332893516e-08,1.734309364733852e-85
2023-12-26,0,risk_on,0.9999999834981282,1.6501306519379396e-08,4.866282385813398e-83
2023-12-27,0,risk_on,0.9999999715691961,2.8430428680733537e-08,6.5368870133920235e-83
2023-12-28,0,risk_on,0.9999999922638381,7.736427515136662e-09,1.5480648294707662e-85
2023-12-29,0,risk_on,0.9999999943702278,5.6293429380572544e-09,3.453333736281568e-85
2024-01-02,0,risk_on,0.9999999868668965,1.3133445563150262e-08,3.139182671685014e-84
2024-01-03,0,risk_on,0.9999999599385782,4.006057023078886e-08,4.1509161074701045e-79
2024-01-04,0,risk_on,0.9999999120755131,8.792485705609416e-08,1.0318023623622387e-77
2024-01-05,0,risk_on,0.9999998498060563,1.5019321809747448e-07,2.017307352986833e-78
2024-01-08,0,risk_on,0.9999999831052265,1.6894865749997955e-08,4.331911962370798e-86
2024-01-09,0,risk_on,0.999999995881808,4.117525345001747e-09,4.262498319011486e-87
2024-01-10,0,risk_on,0.999999991590812,8.410022107145515e-09,1.352969250537146e-86
2024-01-11,0,risk_on,0.999999991598088,8.401082065820445e-09,4.6818934434012595e-85
2024-01-12,0,risk_on,0.9999999730553103,2.6944474977747302e-08,2.0330795826371701e-81
2024-01-16,0,risk_on,0.9999999922256393,7.77348684397507e-09,2.983818265355068e-90
2024-01-17,0,risk_on,0.9999999947613105,5.2394967624805095e-09,4.963382041585858e-97
2024-01-18,0,risk_on,0.9999999873180059,1.2681749249868557e-08,9.949112350256286e-93
2024-01-19,0,risk_on,0.9999999823903637,1.7610325767706136e-08,7.083173293457985e-87
2024-01-22,0,risk_on,0.9999999595220296,4.047814147962878e-08,1.774844638011576e-83
2024-01-23,0,risk_on,0.9999999658011808,3.419948483601132e-08,6.517261346406111e-83
2024-01-24,0,risk_on,0.999999966619726,3.3380838162575634e-08,7.433108232402253e-86
2024-01-25,0,risk_on,0.9999999807332645,1.9267091065956876e-08,7.621011621229074e-83
2024-01-26,0,risk_on,0.9999998904950249,1.0950577904658485e-07,6.335607689596318e-76
2024-01-29,0,risk_on,0.9999996185834606,3.814166301064402e-07,2.6697088845040083e-80
2024-01-30,0,risk_on,0.9999996030529352,3.969472060418919e-07,4.096214651083522e-78
2024-01-31,0,risk_on,0.9999990311175826,9.688815953995177e-07,5.777295185056287e-71
2024-02-01,0,risk_on,0.999999843657873,1.5634168608157717e-07,1.5972121292674906e-78
2024-02-02,0,risk_on,0.9999998352486863,1.6475218852537117e-07,3.876314613187583e-72
2024-02-05,0,risk_on,0.9999999541141743,4.5886409658216736e-08,1.891165860056343e-69
2024-02-06,0,risk_on,0.9999999560441221,4.395659803095945e-08,8.512482565966947e-70
2024-02-07,0,risk_on,0.9999997714403696,2.285600614169703e-07,2.5467901122098142e-70
2024-02-08,0,risk_on,0.9999999594310801,4.0569206237370465e-08,2.6419471866197542e-70
2024-02-09,0,risk_on,0.9999999451392811,5.486127914584206e-08,9.760780274419524e-70
2024-02-12,0,risk_on,0.9999999326646525,6.733593631627119e-08,1.2712854235795445e-64
2024-02-13,0,risk_on,0.9999996756287672,3.243712834262792e-07,4.995555892714395e-71
2024-02-14,0,risk_on,0.9999999629690144,3.703104931112125e-08,3.3497572353354164e-71
2024-02-15,0,risk_on,0.9999999905485311,9.452377228820267e-09,7.907987392208107e-67
2024-02-16,0,risk_on,0.9999999939318513,6.067480137342698e-09,1.4979338821303337e-68
2024-02-20,0,risk_on,0.9999999842548278,1.574581261468129e-08,3.391189347304361e-70
2024-02-21,0,risk_on,0.9999999863648554,1.363531171702287e-08,2.529323373323054e-71
2024-02-22,0,risk_on,0.9999999627070799,3.729270965930722e-08,3.484754128284327e-69
2024-02-23,0,risk_on,0.9999999868050509,1.3194412946606239e-08,1.5986878481290108e-68
2024-02-26,0,risk_on,0.999999981679139,1.832114066239287e-08,8.073094209266456e-70
2024-02-27,0,risk_on,0.9999999833326002,1.6668204100463828e-08,6.708506567610746e-69
2024-02-28,0,risk_on,0.9999999857391231,1.426158520994729e-08,6.437917150106854e-71
2024-02-29,0,risk_on,0.9999999759911592,2.4008945739111003e-08,6.740734640177454e-70
2024-03-01,0,risk_on,0.9999996580882582,3.419118719426552e-07,5.346800279190854e-69
2024-03-04,0,risk_on,0.9999999002320742,9.976872550978092e-08,3.334958478971547e-73
2024-03-05,0,risk_on,0.9999999283954847,7.160439732738383e-08,2.2154014784490898e-66
2024-03-06,0,risk_on,0.9999999811188902,1.888180370134056e-08,1.1322681553667485e-66
2024-03-07,0,risk_on,0.9999999765495888,2.3451061057444304e-08,1.651102472627397e-67
2024-03-08,0,risk_on,0.9999999832652976,1.6734743784003818e-08,9.594992793941455e-69
2024-03-11,0,risk_on,0.9999999908395694,9.159933988795537e-09,8.64933615027143e-72
2024-03-12,0,risk_on,0.9999999926403689,7.360190702340934e-09,1.8433465371540663e-70
2024-03-13,0,risk_on,0.9999999933297659,6.6694893670464244e-09,4.0940939767381414e-72
2024-03-14,0,risk_on,0.9999999977317202,2.2684322300069123e-09,3.5850871458973137e-72
2024-03-15,0,risk_on,0.9999999973333615,2.666453983900707e-09,8.544632374447264e-69
2024-03-18,0,risk_on,0.9999999981828296,1.8168454073460473e-09,4.190234781355974e-70
2024-03-19,0,risk_on,0.999999997593477,2.4070348994021403e-09,1.224902496447269e-68
2024-03-20,0,risk_on,0.999999996733095,3.2670835035191826e-09,2.9881859111244934e-66
2024-03-21,0,risk_on,0.9999999969695637,3.0311698190402182e-09,1.2521241991257127e-65
2024-03-22,0,risk_on,0.9999999922529241,7.746169396279674e-09,5.568103156126567e-69
2024-03-25,0,risk_on,0.9999999945393938,5.460032313031062e-09,1.3189839103364538e-70
2024-03-26,0,risk_on,0.9999999966094038,3.390909384400706e-09,1.0818307892530918e-70
2024-03-27,0,risk_on,0.9999999976189429,2.381842568061878e-09,7.877323611934944e-72
2024-03-28,0,risk_on,0.99999999829015,1.7103729405698131e-09,6.648518238504721e-74
2024-04-01,0,risk_on,0.9999999973933882,2.6064762144284257e-09,1.927125724605026e-75
2024-04-02,0,risk_on,0.9999999962783477,3.7213055239660367e-09,1.1032910759446635e-75
2024-04-03,0,risk_on,0.9999999956835381,4.3164726556867175e-09,4.2708013191647765e-73
2024-04-04,0,risk_on,0.9999999927003955,7.299904675358174e-09,8.959464320248994e-70
2024-04-05,0,risk_on,0.9999999895462679,1.0454632004496582e-08,1.3883784080656058e-66
2024-04-08,0,risk_on,0.9999999843730621,1.562783335486577e-08,1.2503270110683593e-67
2024-04-09,0,risk_on,0.9999999911997293,8.80039634476045e-09,2.008432258232454e-65
2024-04-10,0,risk_on,0.9999999780247892,2.1974536409019525e-08,5.563206096394233e-69
2024-04-11,0,risk_on,0.9999999821884559,1.78118987021099e-08,2.0599543287645661e-69
2024-04-12,0,risk_on,0.9999999689571273,3.104229483177752e-08,6.6726343065568e-67
2024-04-15,0,risk_on,0.9999999487918116,5.1207784719388154e-08,4.831373706230397e-66
2024-04-16,0,risk_on,0.9999998784005658,1.2160027161888392e-07,1.3031875772430645e-63
2024-04-17,0,risk_on,0.9999994269057247,5.730940237572205e-07,1.1253016267217865e-60
2024-04-18,0,risk_on,0.9999986849824842,1.3150183862395982e-06,3.7390839131499005e-61
2024-04-19,0,risk_on,0.9999940688388412,5.931161725192798e-06,4.449348433639534e-61
2024-04-22,0,risk_on,0.9999983305729366,1.6694266857436282e-06,1.1651790631440066e-61
2024-04-23,0,risk_on,0.9999996362294703,3.637714098417884e-07,1.5859932283362376e-62
2024-04-24,0,risk_on,0.9999996662991737,3.3370078221232555e-07,2.0075197028732298e-61
2024-04-25,0,risk_on,0.9999981455474796,1.8544530776829323e-06,1.8182405351474828e-61
2024-04-26,0,risk_on,0.9999994995379327,5.004617751286013e-07,2.687343961475567e-65
2024-04-29,0,risk_on,0.9999997195027783,2.8049751859683636e-07,6.257926201236327e-63
2024-04-30,0,risk_on,0.9999983402172025,1.6597820857763056e-06,6.964387071619349e-63
2024-05-01,0,risk_on,0.999996169590364,3.830410295458851e-06,2.9458530112826176e-66
2024-05-02,0,risk_on,0.999999446281589,5.537183657306256e-07,1.5932283802065813e-64
2024-05-03,0,risk_on,0.9999999389947353,6.100447432528075e-08,1.150000160834744e-75
2024-05-06,0,risk_on,0.9999999761439543,2.3856791230507777e-08,3.2026055836565926e-76
2024-05-07,0,risk_on,0.9999999796837076,2.031591480900298e-08,3.476483426658297e-75
2024-05-08,0,risk_on,0.9999999722149372,2.7785346974080737e-08,3.4141601372765916e-78
2024-05-09,0,risk_on,0.9999999853953341,1.4603973732518213e-08,3.099661293447241e-77
2024-05-10,0,risk_on,0.9999999801057131,1.989424463944477e-08,6.005012478218007e-79
