date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-06-23,4,mixed_or_neutral_4,3.9397753851030224e-29,1.1289729509663778e-10,4.101679849507473e-65,9.934995541770431e-25,0.9999999998872227
2008-06-24,4,mixed_or_neutral_4,9.402321242239756e-30,6.783315729019318e-10,6.313372271162757e-70,6.37770578961141e-25,0.999999999321517
2008-06-25,4,mixed_or_neutral_4,7.227960552191612e-30,3.9511798563739756e-10,3.659469814043926e-69,1.6885924666346393e-25,0.9999999996052793
2008-06-26,4,mixed_or_neutral_4,1.3688730939979757e-33,4.016945690235313e-09,2.744350458177696e-85,5.948720518579602e-24,0.9999999959827619
2008-06-27,4,mixed_or_neutral_4,5.906672754657178e-38,3.281694061396906e-09,2.4492492186041846e-89,1.145182550182455e-24,0.9999999967185431
2008-06-30,4,mixed_or_neutral_4,1.8494810011369302e-37,2.0656763444843953e-12,6.518715667500268e-80,1.238369240975083e-22,0.999999999998181
2008-07-01,4,mixed_or_neutral_4,5.787737452673995e-35,9.570501402806201e-12,8.376307446657504e-80,9.527986444548004e-26,0.9999999999899956
2008-07-02,4,mixed_or_neutral_4,2.980149816592591e-35,2.908670020014763e-10,3.7409646213673207e-90,2.547838819177323e-24,0.9999999997089617
2008-07-03,4,mixed_or_neutral_4,4.951850388553783e-38,7.803666923274464e-10,8.872203367433035e-93,1.643136124595727e-22,0.9999999992196535
2008-07-07,4,mixed_or_neutral_4,8.330086211019778e-41,3.40340478146727e-11,1.0810621166786857e-94,1.2147727242636455e-22,0.9999999999663487
2008-07-08,4,mixed_or_neutral_4,7.393826150671626e-42,6.151874347925269e-13,6.358640474574597e-96,1.379655762635114e-24,0.9999999999990905
2008-07-09,4,mixed_or_neutral_4,4.0793292196721505e-43,6.194850047274514e-14,1.1707233026888904e-107,1.476561266718381e-25,1.0
2008-07-10,4,mixed_or_neutral_4,2.533770943279709e-41,1.8425419122407576e-14,9.918725166908285e-104,1.131126213232117e-25,1.0
2008-07-11,4,mixed_or_neutral_4,6.955360849048709e-43,1.1806483484766248e-14,3.1944412343160936e-113,3.0802742782314105e-26,1.0
2008-07-14,4,mixed_or_neutral_4,3.35346401511302e-45,8.296912865161662e-16,1.7675416306095713e-118,8.408233102703889e-26,1.0
2008-07-15,4,mixed_or_neutral_4,1.1704495378518097e-50,3.5082901651091826e-16,5.36364071110258e-131,1.4288603258069556e-25,1.0
2008-07-16,4,mixed_or_neutral_4,3.000394164092207e-46,5.886728781570369e-16,1.2864179076801937e-112,5.743739764612291e-26,1.0
2008-07-17,4,mixed_or_neutral_4,3.768529607803575e-46,1.547148817834465e-15,2.1781433307620135e-104,1.1339243031310535e-26,1.0
2008-07-18,4,mixed_or_neutral_4,1.1695717698260645e-43,3.652164047143665e-16,3.121412603602141e-102,8.046019567004831e-28,1.0
2008-07-21,4,mixed_or_neutral_4,3.669622801561203e-43,4.827097761740075e-17,3.5828562153058954e-104,1.0203369921094185e-29,1.0
2008-07-22,4,mixed_or_neutral_4,7.47536768687902e-43,4.597319966334887e-16,1.3878769370169077e-104,2.313901063772828e-31,1.0
2008-07-23,4,mixed_or_neutral_4,2.3903696850347835e-40,1.395142675289599e-16,4.315921759736442e-99,6.507225867960068e-30,1.0
2008-07-24,4,mixed_or_neutral_4,4.851565891619799e-43,4.9797219952858515e-17,4.194859050002388e-112,9.583568797457805e-31,1.0
2008-07-25,4,mixed_or_neutral_4,1.1036222961860722e-44,9.369821206072742e-19,3.18289291318604e-112,3.6929839089164067e-32,1.0
2008-07-28,4,mixed_or_neutral_4,2.0787042331778545e-43,1.3793284247117017e-19,1.2470579879421773e-130,5.9920895175531905e-33,1.0
2008-07-29,4,mixed_or_neutral_4,4.0193607775465613e-41,1.4272346205256318e-18,3.9408252306931694e-120,3.4219990705535803e-34,1.0
2008-07-30,4,mixed_or_neutral_4,1.480107908340325e-41,8.545902293392336e-17,2.704382407573953e-106,3.2758460633334004e-31,1.0
2008-07-31,4,mixed_or_neutral_4,1.7533293862478304e-44,6.669583425396564e-18,1.301471086102949e-110,5.9134961976560884e-30,1.0
2008-08-01,4,mixed_or_neutral_4,2.1279325903469117e-42,1.1196222743487295e-18,1.045905434985615e-121,1.597410223351623e-30,1.0
2008-08-04,4,mixed_or_neutral_4,3.403405197794793e-42,2.5096478943942298e-18,1.913896008752147e-126,6.9308700436616795e-31,1.0
2008-08-05,4,mixed_or_neutral_4,3.2026323545420364e-40,6.167936508143153e-18,9.635498266645715e-115,2.161053766711328e-30,1.0
2008-08-06,4,mixed_or_neutral_4,3.4498373397507546e-42,2.626673244997207e-16,1.8115433734903466e-107,3.875289496683436e-31,1.0
2008-08-07,4,mixed_or_neutral_4,4.891426139373642e-40,6.746102336152886e-16,1.913280715310754e-124,2.3442206930772466e-29,1.0
