date,regime,regime_label,prob_regime_0,prob_regime_1
2024-04-18,1,risk_on,6.727246056182572e-50,1.0
2024-04-19,1,risk_on,1.0123406329752341e-49,1.0
2024-04-22,1,risk_on,9.328480959993295e-50,1.0
2024-04-23,1,risk_on,2.2037596119400856e-50,1.0
2024-04-24,1,risk_on,4.319865329023242e-50,1.0
2024-04-25,1,risk_on,2.5493505865469734e-50,1.0
2024-04-26,1,risk_on,9.348046119349399e-53,1.0
2024-04-29,1,risk_on,1.8569723645701837e-51,1.0
2024-04-30,1,risk_on,3.9653513174530636e-52,1.0
2024-05-01,1,risk_on,2.899326871169073e-54,1.0
2024-05-02,1,risk_on,7.265147233852985e-52,1.0
2024-05-03,1,risk_on,1.4378408343784942e-60,1.0
2024-05-06,1,risk_on,1.9401387316960935e-60,1.0
2024-05-07,1,risk_on,9.28143365081494e-60,1.0
2024-05-08,1,risk_on,2.6050411298010527e-62,1.0
2024-05-09,1,risk_on,4.263494847236207e-61,1.0
2024-05-10,1,risk_on,2.3640817258764713e-62,1.0
2024-05-13,1,risk_on,9.008105781771599e-63,1.0
2024-05-14,1,risk_on,9.452258473021426e-58,1.0
2024-05-15,1,risk_on,1.3436405444655975e-56,1.0
2024-05-16,1,risk_on,3.828823905981045e-57,1.0
2024-05-17,1,risk_on,2.1249561020957578e-56,1.0
2024-05-20,1,risk_on,8.357558649067374e-56,1.0
2024-05-21,1,risk_on,9.011802939439426e-56,1.0
2024-05-22,1,risk_on,4.3869028236051757e-57,1.0
2024-05-23,1,risk_on,4.3667966908955066e-58,1.0
2024-05-24,1,risk_on,1.7431183620691547e-57,1.0
2024-05-28,1,risk_on,1.8418001431939632e-58,1.0
2024-05-29,1,risk_on,3.287847876508912e-61,1.0
2024-05-30,1,risk_on,2.293663306350273e-56,1.0
2024-05-31,1,risk_on,2.2174386415043074e-56,1.0
2024-06-03,1,risk_on,1.4506075005302487e-57,1.0
2024-06-04,1,risk_on,2.050345863543839e-62,1.0
2024-06-05,1,risk_on,1.3016275962768752e-63,1.0
2024-06-06,1,risk_on,7.129120485538367e-65,1.0
2024-06-07,1,risk_on,5.87277016548811e-65,1.0
2024-06-10,1,risk_on,8.597625237818127e-65,1.0
2024-06-11,1,risk_on,1.2312489547440976e-67,1.0
2024-06-12,1,risk_on,2.091283022895377e-67,1.0
2024-06-13,1,risk_on,3.1148563634934664e-66,1.0
2024-06-14,1,risk_on,3.2013269920893456e-67,1.0
2024-06-17,1,risk_on,1.960391878709766e-64,1.0
2024-06-18,1,risk_on,1.8632920366405083e-63,1.0
2024-06-20,1,risk_on,2.589228044709867e-65,1.0
2024-06-21,1,risk_on,1.086227791926749e-65,1.0
2024-06-24,1,risk_on,7.471373499323371e-66,1.0
2024-06-25,1,risk_on,2.2852242790568045e-64,1.0
2024-06-26,1,risk_on,1.5175755448156334e-64,1.0
2024-06-27,1,risk_on,1.146213362653955e-63,1.0
2024-06-28,1,risk_on,1.12297234535804e-64,1.0
2024-07-01,1,risk_on,5.894494089125865e-63,1.0
2024-07-02,1,risk_on,3.678538618878517e-63,1.0
2024-07-03,1,risk_on,2.2922718033117765e-63,1.0
2024-07-05,1,risk_on,4.56167089182316e-66,1.0
2024-07-08,1,risk_on,4.4298615132984765e-73,1.0
2024-07-09,1,risk_on,2.6006694067101113e-72,1.0
2024-07-10,1,risk_on,6.187960735660203e-70,1.0
2024-07-11,1,risk_on,9.812640627914594e-61,1.0
2024-07-12,1,risk_on,3.1565406262793084e-63,1.0
2024-07-15,1,risk_on,4.834995667227454e-66,1.0
2024-07-16,1,risk_on,4.860085510130884e-62,1.0
2024-07-17,1,risk_on,4.523018682965297e-59,1.0
2024-07-18,1,risk_on,2.104918635593196e-63,1.0
2024-07-19,1,risk_on,2.1305219063992688e-63,1.0
2024-07-22,1,risk_on,7.729963260501711e-63,1.0
2024-07-23,1,risk_on,6.486133823565175e-64,1.0
2024-07-24,1,risk_on,1.2920917421848867e-65,1.0
2024-07-25,1,risk_on,2.1073300876346616e-63,1.0
2024-07-26,1,risk_on,2.3919019665775957e-63,1.0
2024-07-29,1,risk_on,2.4831159673936205e-64,1.0
2024-07-30,1,risk_on,2.2081251876828415e-62,1.0
